treatment, length
Control, 65
Control, 67
Control, 68
Control, 70
Control, 71
Control, 75
Control, 76
Glucose, 57
Glucose, 58
Glucose, 59
Glucose, 60
Glucose, 61
Glucose, 62
Fructose, 56
Fructose, 57
Fructose, 58
Fructose, 60
Fructose, 61
Sucrose, 56
Sucrose, 57
Sucrose, 58
Sucrose, 59
Sucrose, 61
Gluc.Fruc, 62
Gluc.Fruc, 63
Gluc.Fruc, 64
Gluc.Fruc, 65
Gluc.Fruc, 66
Gluc.Fruc, 67
Control, 70
Control, 70
Control, 70
Glucose, 60
Glucose, 60
Glucose, 59
Glucose, 59
Fructose, 58
Fructose, 58
Fructose, 58
Fructose, 58
Fructors, 58
Gluc.Fruc, 64
Gluc.Fruc, 65
Gluc.Fruc, 64
Gluc.Fruc, 65

